1991-338-f035-r043,0:52:00,52,6,0,0,35,17,21,8,14,0,1,25,35,17,25,11,16,6,6,7,7,28,41,53,76,2,2,25,41,8,25,5,16,0,6,13,41,4,21,6,14,1,1,7,7,10,35,23,76
1991-338-s351-g182,1:30:00,90,6,3,46,74,39,46,13,28,0,0,52,74,16,48,7,24,1,2,11,11,23,72,75,146,1,2,48,72,32,48,17,24,1,2,49,72,7,46,15,28,0,0,11,11,22,74,71,146
1991-338-s351-a163,0:49:00,49,2,0,0,37,15,15,17,22,0,0,32,37,17,34,5,8,4,7,8,7,22,42,54,79,1,4,34,42,17,34,3,8,3,7,20,42,0,0,5,22,0,0,7,8,0,0,0,0
1991-338-f035-w136,0:52:00,52,2,2,21,40,18,21,11,19,0,0,29,40,13,25,11,13,5,10,7,6,24,38,53,78,1,0,25,38,12,25,2,13,5,10,14,38,3,21,8,19,0,0,6,7,11,40,25,78
1991-338-g182-c001,1:27:00,87,0,3,41,69,26,41,16,28,2,5,42,69,18,32,15,32,5,7,11,11,33,64,75,133,2,5,32,64,14,32,17,32,2,7,31,64,15,41,12,28,3,5,11,11,27,69,58,133
1991-338-j004-c260,1:04:00,64,4,1,25,45,22,25,12,20,0,0,34,45,7,26,17,25,4,9,8,9,24,51,58,96,0,3,26,51,19,26,8,25,5,9,27,51,3,25,8,20,0,0,9,8,11,45,38,96
1991-338-r043-m030,1:36:00,96,4,3,42,76,35,42,15,34,2,4,50,76,23,62,8,17,3,6,11,11,31,79,81,155,1,0,62,79,39,62,9,17,3,6,48,79,7,42,19,34,2,4,11,11,26,76,74,155
1991-338-m030-l018,1:28:00,88,1,3,47,68,33,47,9,21,2,4,42,68,16,47,14,35,0,0,10,10,30,82,72,150,5,1,47,82,31,47,21,35,0,0,52,82,14,47,12,21,2,4,10,10,26,68,78,150
1991-338-a163-a031,1:22:00,82,2,3,43,58,30,43,8,15,4,6,38,58,12,28,13,25,5,8,9,10,25,53,63,111,1,5,28,53,16,28,12,25,3,8,28,53,13,43,7,15,2,6,10,9,20,58,48,111
1991-338-g182-s101,1:50:00,110,0,2,65,97,42,65,13,32,5,10,55,97,14,47,23,36,6,10,14,15,37,83,92,180,5,4,47,83,33,47,13,36,4,10,46,83,23,65,19,32,5,10,15,14,42,97,88,180
1991-338-c001-k214,1:23:00,83,2,1,44,78,32,44,15,34,9,11,47,78,12,39,19,31,4,9,10,10,31,70,78,148,5,4,39,70,27,39,12,31,5,9,39,70,12,44,19,34,2,11,10,10,31,78,70,148
1991-338-g182-m012,1:25:00,85,0,2,53,69,41,53,9,16,1,2,50,69,14,40,12,26,2,6,11,10,26,66,76,135,2,1,40,66,26,40,14,26,4,6,40,66,12,53,7,16,1,2,10,11,19,69,59,135
1991-338-f035-d004,1:10:00,70,6,4,27,58,24,27,17,31,0,0,41,58,13,28,8,24,3,5,9,9,21,52,62,110,6,6,28,52,15,28,16,24,2,5,31,52,3,27,14,31,0,0,9,9,17,58,48,110
1991-338-r043-j004,1:03:00,63,1,1,35,52,26,35,9,17,3,4,35,52,8,22,19,27,5,9,8,8,27,49,62,101,2,7,22,49,14,22,8,27,4,9,22,49,9,35,8,17,1,4,8,8,17,52,39,101
1991-338-f035-s424,1:12:00,72,7,1,30,50,25,30,11,20,0,0,36,50,13,27,17,30,4,13,8,7,30,57,66,107,2,3,27,57,14,27,13,30,9,13,27,57,5,30,9,20,0,0,7,8,14,50,41,107
1991-338-h025-k181,1:30:00,90,10,0,0,59,29,36,15,23,2,3,44,59,13,34,17,36,3,8,10,10,30,70,74,129,0,3,34,70,21,34,19,36,5,8,40,70,7,36,8,23,1,3,10,10,15,59,55,129
1991-338-k023-s331,1:32:00,92,1,1,45,80,34,45,22,35,3,4,56,80,17,51,22,37,6,15,13,13,39,88,95,168,2,6,51,88,34,51,15,37,9,15,49,88,11,45,13,35,1,4,13,13,24,80,73,168
1991-338-c260-w123,1:04:00,64,3,2,21,36,18,21,10,15,0,0,28,36,16,38,22,32,5,21,7,7,38,70,66,106,4,5,38,70,22,38,10,32,16,21,32,70,3,21,5,15,0,0,7,7,8,36,40,106
1991-338-a163-b281,1:45:00,105,1,3,37,71,24,37,14,34,5,8,38,71,10,27,24,34,6,10,9,10,34,61,72,132,1,6,27,61,17,27,10,34,4,10,27,61,13,37,20,34,3,8,10,9,33,71,60,132
1991-338-k214-r214,1:00:00,60,10,1,30,52,25,30,14,22,0,0,39,52,9,26,14,26,3,6,9,8,23,52,62,104,1,4,26,52,17,26,12,26,3,6,29,52,5,30,8,22,0,0,8,9,13,52,42,104
1991-338-j004-r186,1:08:00,68,10,3,32,53,29,32,12,21,0,0,41,53,6,26,13,29,2,4,10,10,19,55,60,108,1,2,26,55,20,26,16,29,2,4,36,55,3,32,9,21,0,0,10,10,12,53,48,108
1991-338-m012-k016,1:43:00,103,1,0,0,84,34,51,20,33,5,7,54,84,16,46,17,34,4,7,13,12,33,80,87,164,5,4,46,80,30,46,17,34,3,7,47,80,17,51,13,33,2,7,12,13,30,84,77,164
1991-338-a031-k148,1:31:00,91,5,1,60,86,41,60,14,26,4,6,55,86,15,42,20,41,5,11,14,14,35,83,90,169,2,4,42,83,27,42,21,41,6,11,48,83,19,60,12,26,2,6,14,14,31,86,79,169
1991-338-c001-b350,1:40:00,100,0,8,66,111,43,66,18,45,7,11,61,111,17,49,7,20,3,5,14,13,24,69,85,180,3,1,49,69,32,49,13,20,2,5,45,69,23,66,27,45,4,11,13,14,50,111,95,180
1991-338-r043-s055,1:07:00,67,5,3,35,48,28,35,5,13,3,4,33,48,25,48,9,16,5,11,8,8,34,64,67,112,0,2,48,64,23,48,7,16,6,11,30,64,7,35,8,13,1,4,8,8,15,48,45,112
1991-338-s424-s080,1:23:00,83,3,0,0,56,17,24,16,32,3,6,33,56,14,30,17,27,6,8,10,10,31,57,64,113,0,0,30,57,16,30,10,27,2,8,26,57,7,24,16,32,3,6,10,10,23,56,49,113
1991-338-s351-v037,1:09:00,69,3,3,23,52,21,23,18,29,0,0,39,52,6,29,17,30,3,9,9,10,23,59,62,111,0,2,29,59,23,29,13,30,6,9,36,59,2,23,11,29,0,0,10,9,13,52,49,111
1991-338-w136-l206,1:11:00,71,2,4,31,55,20,31,16,24,1,3,36,55,28,57,9,17,5,10,10,10,37,74,73,129,1,0,57,74,29,57,8,17,5,10,37,74,11,31,8,24,2,3,10,10,19,55,56,129
1991-580-b028-l018,2:50:00,170,9,4,86,121,60,86,16,35,9,12,76,121,23,72,18,43,4,8,18,19,41,115,117,236,9,3,72,115,49,72,25,43,4,8,74,115,26,86,19,35,3,12,19,18,45,121,119,236
