2017-451,1st Round Qualifying,7,8,Vasek Pospisil,pd07,vasek-pospisil,Jabor Al-Mutawa,ac23,jabor-al-mutawa,8,WC,62 62,2,0,12,4,0,0,2017-451-pd07-ac23,/en/scores/2017/451/QS009/match-stats?isLive=False
2017-891,Finals,1,1,Roberto Bautista Agut,bd06,roberto-bautista-agut,Daniil Medvedev,mm58,daniil-medvedev,2,,63 64,2,0,12,7,0,0,2017-891-bd06-mm58,/en/scores/2017/891/MS001/match-stats?isLive=False
2017-891,Semi-Finals,2,1,Roberto Bautista Agut,bd06,roberto-bautista-agut,Benoit Paire,pd31,benoit-paire,2,5,63 63,2,0,12,6,0,0,2017-891-bd06-pd31,/en/scores/2017/891/MS003/match-stats?isLive=False
2017-891,Semi-Finals,2,2,Daniil Medvedev,mm58,daniil-medvedev,Dudi Sela,sc56,dudi-sela,,,46 76(2) 62,2,1,17,14,1,0,2017-891-mm58-sc56,/en/scores/2017/891/MS002/match-stats?isLive=False
2017-891,Quarter-Finals,3,1,Roberto Bautista Agut,bd06,roberto-bautista-agut,Mikhail Youzhny,y061,mikhail-youzhny,2,7,26 64 64,2,1,14,14,0,0,2017-891-bd06-y061,/en/scores/2017/891/MS007/match-stats?isLive=False
2017-891,Quarter-Finals,3,2,Dudi Sela,sc56,dudi-sela,Albert Ramos-Vinolas,r772,albert-ramos-vinolas,,3,75 64,2,0,13,9,0,0,2017-891-sc56-r772,/en/scores/2017/891/MS005/match-stats?isLive=False
2017-891,Quarter-Finals,3,3,Benoit Paire,pd31,benoit-paire,Aljaz Bedene,bh09,aljaz-bedene,5,,63 60,2,0,12,3,0,0,2017-891-pd31-bh09,/en/scores/2017/891/MS006/match-stats?isLive=False
2017-891,Quarter-Finals,3,4,Daniil Medvedev,mm58,daniil-medvedev,Jozef Kovalik,kc04,jozef-kovalik,,Q,61 64,2,0,12,5,0,0,2017-891-mm58-kc04,/en/scores/2017/891/MS004/match-stats?isLive=False
2017-891,Round of 16,4,1,Jozef Kovalik,kc04,jozef-kovalik,Marin Cilic,c977,marin-cilic,Q,1,76(5) 57 75,2,1,19,18,1,0,2017-891-kc04-c977,/en/scores/2017/891/MS008/match-stats?isLive=False
2017-891,Round of 16,4,2,Roberto Bautista Agut,bd06,roberto-bautista-agut,Rogerio Dutra Silva,sc73,rogerio-dutra-silva,2,,63 62,2,0,12,5,0,0,2017-891-bd06-sc73,/en/scores/2017/891/MS015/match-stats?isLive=False
2017-891,Round of 16,4,3,Albert Ramos-Vinolas,r772,albert-ramos-vinolas,Steve Darcis,d632,steve-darcis,3,,62 60,2,0,12,2,0,0,2017-891-r772-d632,/en/scores/2017/891/MS010/match-stats?isLive=False
2017-891,Round of 16,4,4,Aljaz Bedene,bh09,aljaz-bedene,Martin Klizan,k966,martin-klizan,,4,76(3) 67(3) 76(2),2,1,20,19,2,1,2017-891-bh09-k966,/en/scores/2017/891/MS013/match-stats?isLive=False
2017-891,Round of 16,4,5,Benoit Paire,pd31,benoit-paire,Yuki Bhambri,bf55,yuki-bhambri,5,Q,63 64,2,0,12,7,0,0,2017-891-pd31-bf55,/en/scores/2017/891/MS012/match-stats?isLive=False
2017-891,Round of 16,4,6,Mikhail Youzhny,y061,mikhail-youzhny,Renzo Olivo,o376,renzo-olivo,7,,61 75,2,0,13,6,0,0,2017-891-y061-o376,/en/scores/2017/891/MS014/match-stats?isLive=False
2017-891,Round of 16,4,7,Daniil Medvedev,mm58,daniil-medvedev,Yen-Hsun Lu,l575,yen-hsun-lu,,8,64 63,2,0,12,7,0,0,2017-891-mm58-l575,/en/scores/2017/891/MS009/match-stats?isLive=False
2017-891,Round of 16,4,8,Dudi Sela,sc56,dudi-sela,Hyeon Chung,ch27,hyeon-chung,,Q,62 62,2,0,12,4,0,0,2017-891-sc56-ch27,/en/scores/2017/891/MS011/match-stats?isLive=False
2017-891,Round of 32,5,1,Benoit Paire,pd31,benoit-paire,Konstantin Kravchuk,k776,konstantin-kravchuk,5,,63 64,2,0,12,7,0,0,2017-891-pd31-k776,/en/scores/2017/891/MS024/match-stats?isLive=False
2017-891,Round of 32,5,2,Hyeon Chung,ch27,hyeon-chung,Borna Coric,cg80,borna-coric,Q,6,63 75,2,0,13,8,0,0,2017-891-ch27-cg80,/en/scores/2017/891/MS023/match-stats?isLive=False
